Move,Monster
AP Drain,Muskrateer
AP Drain,Nevermort
AP Drain,Padpole
AP Drain,Palangolin
AP Drain,Pawndead
AP Drain,Picksie
AP Drain,Pinbolt
AP Drain,Plasmantler
AP Drain,Pombomb
AP Drain,Pondwalker
AP Drain,Puppercut
AP Drain,Pyromeleon
AP Drain,Queenyx
AP Drain,Ramtasm
AP Drain,Ratcousel
AP Drain,Regensea
AP Drain,Ripterra
AP Drain,Robindam
AP Drain,Rockertrice
AP Drain,Rosehood
AP Drain,Salamagus
AP Drain,Sanzatime
AP Drain,Scampire
AP Drain,Scarleteeth
AP Drain,Scubalrus
AP Drain,Sharktanker
AP Drain,Shining Kuneko
AP Drain,Sirenade
AP Drain,Skelevangelist
AP Drain,Smogmagog
AP Drain,Snoopin
AP Drain,Southpaw
AP Drain,Sparktan
AP Drain,Spirouette
AP Drain,Spitzfyre
AP Drain,Spooki-onna
AP Drain,Springheel
AP Drain,Squirey
AP Drain,Stardigrade
AP Drain,Terracooka
AP Drain,Thwackalope
AP Drain,Tokusect
AP Drain,Traffikrab
AP Drain,Trapwurm
AP Drain,Triphinx
AP Drain,Twirligig
AP Drain,Umbrahella
AP Drain,Undyin
AP Drain,Velocirifle
AP Drain,Vendemon
AP Drain,Weevilite
AP Drain,Wingloom
AP Drain,Wooltergeist
AP Drain,Wyrmaw
AP Drain,Zeustrike
AP Drain,Zombleat
AP Factory,Allseer
AP Factory,Amphare
AP Factory,Anathema
AP Factory,Arkidd
AP Factory,Artillerex
AP Factory,Averevoir
AP Factory,Binterloper
AP Factory,Binvader
AP Factory,Blossomaw
AP Factory,Bulletino
AP Factory,Burnace
AP Factory,Cat-5
AP Factory,Clocksley
AP Factory,Dandylion
AP Factory,Decibelle
AP Factory,Elfless
AP Factory,Faerious
AP Factory,Galagor
AP Factory,Gearyu
AP Factory,Grampus
AP Factory,Gumbaal
AP Factory,Khepri
AP Factory,Khufo
AP Factory,Kingrave
AP Factory,Kittelly
AP Factory,Lapacitor
AP Factory,Lobstacle
AP Factory,Majortom
AP Factory,Minortom
AP Factory,Miss Mimic
AP Factory,Muskrateer
AP Factory,Pawndead
AP Factory,Pondwalker
AP Factory,Queenyx
AP Factory,Ratcousel
AP Factory,Robindam
AP Factory,Sharktanker
AP Factory,Sirenade
AP Factory,Skelevangelist
AP Factory,Smogmagog
AP Factory,Stardigrade
AP Factory,Triphinx
AP Factory,Velocirifle
AP Factory,Vendemon
AP Refund,Adeptile
AP Refund,Aeroboros
AP Refund,Allseer
AP Refund,Amphare
AP Refund,Anathema
AP Refund,Apocrowlypse
AP Refund,Arkidd
AP Refund,Artillerex
AP Refund,Auriclaw
AP Refund,Averevoir
AP Refund,Bansheep
AP Refund,Beanstalker
AP Refund,Binterloper
AP Refund,Binvader
AP Refund,Blossomaw
AP Refund,Blunderbusk
AP Refund,Boltam
AP Refund,Braxsuit
AP Refund,Brushroom
AP Refund,Bulletino
AP Refund,Burnace
AP Refund,Busheye
AP Refund,Candevil
AP Refund,Capricorpse
AP Refund,Carniviper
AP Refund,Cat-5
AP Refund,Charlequin
AP Refund,Clocksley
AP Refund,Cluckabilly
AP Refund,Coaldron
AP Refund,Cryoshear
AP Refund,Dandylion
AP Refund,Decibelle
AP Refund,Diveal
AP Refund,Diveberg
AP Refund,Djinn Entonic
AP Refund,Dominoth
AP Refund,Draculeaf
AP Refund,Elfless
AP Refund,Faerious
AP Refund,Faucetear
AP Refund,Ferriclaw
AP Refund,Flapwoods
AP Refund,Folklord
AP Refund,Fortiwinx
AP Refund,Fountess
AP Refund,Fragliacci
AP Refund,Frillypad
AP Refund,Fungogh
AP Refund,Galagor
AP Refund,Gearyu
AP Refund,Glaistain
AP Refund,Grampus
AP Refund,Gumbaal
AP Refund,Hauntome
AP Refund,Hedgeherne
AP Refund,Hopskin
AP Refund,Huntorch
AP Refund,Icepeck
AP Refund,Jellyton
AP Refund,Jormungold
AP Refund,Jumpkin
AP Refund,Khepri
AP Refund,Khufo
AP Refund,Kingrave
AP Refund,Kirikuri
AP Refund,Kittelly
AP Refund,Kuneko
AP Refund,Lapacitor
AP Refund,Liligator
AP Refund,Littlered
AP Refund,Lobstacle
AP Refund,Macabra
AP Refund,Magikrab
AP Refund,Majortom
AP Refund,Malchemy
AP Refund,Manispear
AP Refund,Mardiusa
AP Refund,Mascotorn
AP Refund,Mascotoy
AP Refund,Masquerattle
AP Refund,Miasmodeus
AP Refund,Minortom
AP Refund,Miss Mimic
AP Refund,Mothmanic
AP Refund,Muskrateer
AP Refund,Nevermort
AP Refund,Padpole
AP Refund,Palangolin
AP Refund,Pawndead
AP Refund,Picksie
AP Refund,Pinbolt
AP Refund,Plasmantler
AP Refund,Pombomb
AP Refund,Pondwalker
AP Refund,Puppercut
AP Refund,Pyromeleon
AP Refund,Queenyx
AP Refund,Ramtasm
AP Refund,Ratcousel
AP Refund,Regensea
AP Refund,Ripterra
AP Refund,Robindam
AP Refund,Rockertrice
AP Refund,Rosehood
AP Refund,Salamagus
AP Refund,Sanzatime
AP Refund,Scampire
AP Refund,Scarleteeth
AP Refund,Scubalrus
AP Refund,Sharktanker
AP Refund,Shining Kuneko
AP Refund,Sirenade
AP Refund,Skelevangelist
AP Refund,Smogmagog
AP Refund,Snoopin
AP Refund,Southpaw
AP Refund,Sparktan
AP Refund,Spirouette
AP Refund,Spitzfyre
AP Refund,Spooki-onna
AP Refund,Springheel
AP Refund,Squirey
AP Refund,Stardigrade
AP Refund,Terracooka
AP Refund,Thwackalope
AP Refund,Tokusect
AP Refund,Traffikrab
AP Refund,Trapwurm
AP Refund,Triphinx
AP Refund,Twirligig
AP Refund,Umbrahella
AP Refund,Undyin
AP Refund,Velocirifle
AP Refund,Vendemon
AP Refund,Weevilite
AP Refund,Wingloom
AP Refund,Wooltergeist
AP Refund,Wyrmaw
AP Refund,Zeustrike
AP Refund,Zombleat
AP Starter,Adeptile
AP Starter,Aeroboros
AP Starter,Allseer
AP Starter,Amphare
AP Starter,Anathema
AP Starter,Apocrowlypse
AP Starter,Arkidd
AP Starter,Artillerex
AP Starter,Auriclaw
AP Starter,Averevoir
AP Starter,Bansheep
AP Starter,Beanstalker
AP Starter,Binterloper
AP Starter,Binvader
AP Starter,Blossomaw
AP Starter,Blunderbusk
AP Starter,Boltam
AP Starter,Braxsuit
AP Starter,Brushroom
AP Starter,Bulletino
AP Starter,Burnace
AP Starter,Busheye
AP Starter,Candevil
AP Starter,Capricorpse
AP Starter,Carniviper
AP Starter,Cat-5
AP Starter,Charlequin
AP Starter,Clocksley
AP Starter,Cluckabilly
AP Starter,Coaldron
AP Starter,Cryoshear
AP Starter,Dandylion
AP Starter,Decibelle
AP Starter,Diveal
AP Starter,Diveberg
AP Starter,Djinn Entonic
AP Starter,Dominoth
AP Starter,Draculeaf
AP Starter,Elfless
AP Starter,Faerious
AP Starter,Faucetear
AP Starter,Ferriclaw
AP Starter,Flapwoods
AP Starter,Folklord
AP Starter,Fortiwinx
AP Starter,Fountess
AP Starter,Fragliacci
AP Starter,Frillypad
AP Starter,Fungogh
AP Starter,Galagor
AP Starter,Gearyu
AP Starter,Glaistain
AP Starter,Grampus
AP Starter,Gumbaal
AP Starter,Hauntome
AP Starter,Hedgeherne
AP Starter,Hopskin
AP Starter,Huntorch
AP Starter,Icepeck
AP Starter,Jellyton
AP Starter,Jormungold
AP Starter,Jumpkin
AP Starter,Khepri
AP Starter,Khufo
AP Starter,Kingrave
AP Starter,Kirikuri
AP Starter,Kittelly
AP Starter,Kuneko
AP Starter,Lapacitor
AP Starter,Liligator
AP Starter,Littlered
AP Starter,Lobstacle
AP Starter,Macabra
AP Starter,Magikrab
AP Starter,Majortom
AP Starter,Malchemy
AP Starter,Manispear
AP Starter,Mardiusa
AP Starter,Mascotorn
AP Starter,Mascotoy
AP Starter,Masquerattle
AP Starter,Miasmodeus
AP Starter,Minortom
AP Starter,Miss Mimic
AP Starter,Mothmanic
AP Starter,Muskrateer
AP Starter,Nevermort
AP Starter,Padpole
AP Starter,Palangolin
AP Starter,Pawndead
AP Starter,Picksie
AP Starter,Pinbolt
AP Starter,Plasmantler
AP Starter,Pombomb
AP Starter,Pondwalker
AP Starter,Puppercut
AP Starter,Pyromeleon
AP Starter,Queenyx
AP Starter,Ramtasm
AP Starter,Ratcousel
AP Starter,Regensea
AP Starter,Ripterra
AP Starter,Robindam
AP Starter,Rockertrice
AP Starter,Rosehood
AP Starter,Salamagus
AP Starter,Sanzatime
AP Starter,Scampire
AP Starter,Scarleteeth
AP Starter,Scubalrus
AP Starter,Sharktanker
AP Starter,Shining Kuneko
AP Starter,Sirenade
AP Starter,Skelevangelist
AP Starter,Smogmagog
AP Starter,Snoopin
AP Starter,Southpaw
AP Starter,Sparktan
AP Starter,Spirouette
AP Starter,Spitzfyre
AP Starter,Spooki-onna
AP Starter,Springheel
AP Starter,Squirey
AP Starter,Stardigrade
AP Starter,Terracooka
AP Starter,Thwackalope
AP Starter,Tokusect
AP Starter,Traffikrab
AP Starter,Trapwurm
AP Starter,Triphinx
AP Starter,Twirligig
AP Starter,Umbrahella
AP Starter,Undyin
AP Starter,Velocirifle
AP Starter,Vendemon
AP Starter,Weevilite
AP Starter,Wingloom
AP Starter,Wooltergeist
AP Starter,Wyrmaw
AP Starter,Zeustrike
AP Starter,Zombleat
AP Steal,Adeptile
AP Steal,Aeroboros
AP Steal,Allseer
AP Steal,Anathema
AP Steal,Auriclaw
AP Steal,Blunderbusk
AP Steal,Busheye
AP Steal,Carniviper
AP Steal,Charlequin
AP Steal,Clocksley
AP Steal,Djinn Entonic
AP Steal,Dominoth
AP Steal,Elfless
AP Steal,Faerious
AP Steal,Ferriclaw
AP Steal,Fragliacci
AP Steal,Frillypad
AP Steal,Galagor
AP Steal,Glaistain
AP Steal,Grampus
AP Steal,Hedgeherne
AP Steal,Hopskin
AP Steal,Huntorch
AP Steal,Jellyton
AP Steal,Jormungold
AP Steal,Khufo
AP Steal,Kingrave
AP Steal,Kuneko
AP Steal,Liligator
AP Steal,Lobstacle
AP Steal,Magikrab
AP Steal,Manispear
AP Steal,Mardiusa
AP Steal,Mascotorn
AP Steal,Mascotoy
AP Steal,Masquerattle
AP Steal,Miss Mimic
AP Steal,Mothmanic
AP Steal,Padpole
AP Steal,Picksie
AP Steal,Pyromeleon
AP Steal,Queenyx
AP Steal,Ripterra
AP Steal,Robindam
AP Steal,Salamagus
AP Steal,Scampire
AP Steal,Scarleteeth
AP Steal,Shining Kuneko
AP Steal,Skelevangelist
AP Steal,Snoopin
AP Steal,Springheel
AP Steal,Tokusect
AP Steal,Traffikrab
AP Steal,Trapwurm
AP Steal,Triphinx
AP Steal,Umbrahella
AP Steal,Weevilite
AP Steal,Wingloom
AP Steal,Wyrmaw
Astral Camouflage,Aeroboros
Astral Camouflage,Allseer
Astral Camouflage,Bansheep
Astral Camouflage,Binterloper
Astral Camouflage,Binvader
Astral Camouflage,Braxsuit
Astral Camouflage,Brushroom
Astral Camouflage,Capricorpse
Astral Camouflage,Coaldron
Astral Camouflage,Draculeaf
Astral Camouflage,Elfless
Astral Camouflage,Faerious
Astral Camouflage,Flapwoods
Astral Camouflage,Folklord
Astral Camouflage,Fortiwinx
Astral Camouflage,Fungogh
Astral Camouflage,Grampus
Astral Camouflage,Hauntome
Astral Camouflage,Khepri
Astral Camouflage,Kuneko
Astral Camouflage,Majortom
Astral Camouflage,Mascotorn
Astral Camouflage,Miasmodeus
Astral Camouflage,Minortom
Astral Camouflage,Pyromeleon
Astral Camouflage,Ripterra
Astral Camouflage,Salamagus
Astral Camouflage,Scampire
Astral Camouflage,Snoopin
Astral Camouflage,Sparktan
Astral Camouflage,Spooki-onna
Astral Camouflage,Terracooka
Astral Camouflage,Triphinx
Astral Camouflage,Undyin
Astral Camouflage,Zeustrike
Astral Camouflage,Zombleat
Astral Coating,Adeptile
Astral Coating,Aeroboros
Astral Coating,Allseer
Astral Coating,Bansheep
Astral Coating,Binterloper
Astral Coating,Binvader
Astral Coating,Braxsuit
Astral Coating,Brushroom
Astral Coating,Capricorpse
Astral Coating,Coaldron
Astral Coating,Djinn Entonic
Astral Coating,Draculeaf
Astral Coating,Elfless
Astral Coating,Faerious
Astral Coating,Flapwoods
Astral Coating,Folklord
Astral Coating,Fortiwinx
Astral Coating,Fungogh
Astral Coating,Galagor
Astral Coating,Grampus
Astral Coating,Hauntome
Astral Coating,Khepri
Astral Coating,Khufo
Astral Coating,Kuneko
Astral Coating,Magikrab
Astral Coating,Majortom
Astral Coating,Mascotorn
Astral Coating,Miasmodeus
Astral Coating,Minortom
Astral Coating,Pyromeleon
Astral Coating,Ramtasm
Astral Coating,Ripterra
Astral Coating,Salamagus
Astral Coating,Scampire
Astral Coating,Shining Kuneko
Astral Coating,Snoopin
Astral Coating,Sparktan
Astral Coating,Spooki-onna
Astral Coating,Stardigrade
Astral Coating,Terracooka
Astral Coating,Triphinx
Astral Coating,Undyin
Astral Coating,Wooltergeist
Astral Coating,Zeustrike
Astral Coating,Zombleat
Astral Resistance,Adeptile
Astral Resistance,Aeroboros
Astral Resistance,Allseer
Astral Resistance,Anathema
Astral Resistance,Apocrowlypse
Astral Resistance,Auriclaw
Astral Resistance,Bansheep
Astral Resistance,Beanstalker
Astral Resistance,Binterloper
Astral Resistance,Binvader
Astral Resistance,Braxsuit
Astral Resistance,Capricorpse
Astral Resistance,Coaldron
Astral Resistance,Djinn Entonic
Astral Resistance,Draculeaf
Astral Resistance,Elfless
Astral Resistance,Faerious
Astral Resistance,Ferriclaw
Astral Resistance,Flapwoods
Astral Resistance,Folklord
Astral Resistance,Fortiwinx
Astral Resistance,Galagor
Astral Resistance,Grampus
Astral Resistance,Gumbaal
Astral Resistance,Hauntome
Astral Resistance,Jumpkin
Astral Resistance,Khepri
Astral Resistance,Khufo
Astral Resistance,Kingrave
Astral Resistance,Kuneko
Astral Resistance,Macabra
Astral Resistance,Magikrab
Astral Resistance,Majortom
Astral Resistance,Mascotorn
Astral Resistance,Mascotoy
Astral Resistance,Miasmodeus
Astral Resistance,Minortom
Astral Resistance,Pawndead
Astral Resistance,Puppercut
Astral Resistance,Pyromeleon
Astral Resistance,Queenyx
Astral Resistance,Ramtasm
Astral Resistance,Ripterra
Astral Resistance,Salamagus
Astral Resistance,Scampire
Astral Resistance,Shining Kuneko
Astral Resistance,Skelevangelist
Astral Resistance,Snoopin
Astral Resistance,Southpaw
Astral Resistance,Sparktan
Astral Resistance,Spooki-onna
Astral Resistance,Stardigrade
Astral Resistance,Terracooka
Astral Resistance,Triphinx
Astral Resistance,Undyin
Astral Resistance,Wooltergeist
Astral Resistance,Zeustrike
Astral Resistance,Zombleat
Astral Wall,Adeptile
Astral Wall,Aeroboros
Astral Wall,Allseer
Astral Wall,Bansheep
Astral Wall,Binterloper
Astral Wall,Binvader
Astral Wall,Braxsuit
Astral Wall,Capricorpse
Astral Wall,Coaldron
Astral Wall,Djinn Entonic
Astral Wall,Draculeaf
Astral Wall,Elfless
Astral Wall,Faerious
Astral Wall,Flapwoods
Astral Wall,Folklord
Astral Wall,Fortiwinx
Astral Wall,Galagor
Astral Wall,Grampus
Astral Wall,Hauntome
Astral Wall,Khepri
Astral Wall,Khufo
Astral Wall,Kuneko
Astral Wall,Lobstacle
Astral Wall,Magikrab
Astral Wall,Majortom
Astral Wall,Mascotorn
Astral Wall,Miasmodeus
Astral Wall,Minortom
Astral Wall,Pyromeleon
Astral Wall,Ramtasm
Astral Wall,Ripterra
Astral Wall,Salamagus
Astral Wall,Scampire
Astral Wall,Shining Kuneko
Astral Wall,Snoopin
Astral Wall,Sparktan
Astral Wall,Spooki-onna
Astral Wall,Stardigrade
Astral Wall,Terracooka
Astral Wall,Triphinx
Astral Wall,Undyin
Astral Wall,Wooltergeist
Astral Wall,Zeustrike
Astral Wall,Zombleat
Automation,Allseer
Automation,Amphare
Automation,Anathema
Automation,Arkidd
Automation,Artillerex
Automation,Binterloper
Automation,Binvader
Automation,Bulletino
Automation,Burnace
Automation,Cat-5
Automation,Clocksley
Automation,Galagor
Automation,Gearyu
Automation,Gumbaal
Automation,Khepri
Automation,Khufo
Automation,Kittelly
Automation,Lapacitor
Automation,Majortom
Automation,Minortom
Automation,Miss Mimic
Automation,Pondwalker
Automation,Robindam
Automation,Sharktanker
Automation,Smogmagog
Automation,Stardigrade
Automation,Triphinx
Automation,Velocirifle
Automation,Vendemon
Avalanche,Aeroboros
Avalanche,Cryoshear
Avalanche,Diveberg
Avalanche,Elfless
Avalanche,Faerious
Avalanche,Grampus
Avalanche,Icepeck
Avalanche,Sparktan
Avalanche,Spooki-onna
Avalanche,Umbrahella
Avalanche,Zeustrike
