Monster,Move
Hopskin,Gasoline Spray
Hopskin,Grounded
Hopskin,Headshot
Hopskin,Heroic Blade
Hopskin,Hypnotise
Hopskin,Icicle Dart
Hopskin,Jagged Edge
Hopskin,Jump Scare
Hopskin,Last Rites
Hopskin,Liftoff
Hopskin,Machine Curse
Hopskin,Multi Shot
Hopskin,Multi Smack
Hopskin,Neutralise
Hopskin,Nod
Hopskin,Parry Stance
Hopskin,Peekaboo
Hopskin,Pity AP
Hopskin,Plastic Knife
Hopskin,Pre-emptive Strike
Hopskin,Provoke
Hopskin,Quick Smack
Hopskin,Raise Arms
Hopskin,Raise Shields
Hopskin,Random Starter
Hopskin,Rapid Fire
Hopskin,Revenge Strike
Hopskin,Roll Again
Hopskin,Sharp Edges
Hopskin,Sharpen
Hopskin,Silicon Slash
Hopskin,Slice
Hopskin,Smack
Hopskin,Snow Rush
Hopskin,Sonic Boom
Hopskin,Spit
Hopskin,Spray
Hopskin,Sprint
Hopskin,Stab In The Dark
Hopskin,Superheated Fist
Hopskin,Taunt
Hopskin,The Old 1-2
Hopskin,Throw
Hopskin,Toxic Stab
Hopskin,Toy Hammer
Hopskin,Trick
Hopskin,Trip
Hopskin,Wallop
Hopskin,Wink
Hopskin,Zephyr
Ripterra,Air Camouflage
Ripterra,Air Coating
Ripterra,Air Resistance
Ripterra,Air Wall
Ripterra,AP Boost
Ripterra,AP Drain
Ripterra,AP Refund
Ripterra,AP Starter
Ripterra,AP Steal
Ripterra,Astral Camouflage
Ripterra,Astral Coating
Ripterra,Astral Resistance
Ripterra,Astral Wall
Ripterra,Battery
Ripterra,Beast Camouflage
Ripterra,Beast Coating
Ripterra,Beast Resistance
Ripterra,Beast Wall
Ripterra,Berserker
Ripterra,Bish Bash Bosh
Ripterra,Bite
Ripterra,Blood Donation
Ripterra,Bloodlust
Ripterra,Bone Cannon
Ripterra,Call For Help
Ripterra,Change the Record
Ripterra,Clobber
Ripterra,Compliment
Ripterra,Copper Chop
Ripterra,Critical AP
Ripterra,Criticise
Ripterra,Crossfade
Ripterra,Custom Starter
Ripterra,Defend
Ripterra,Delegate
Ripterra,Desperation
Ripterra,Dodge
Ripterra,Double Slice
Ripterra,Double Smack
Ripterra,Dual Wield
Ripterra,Déjà Vu
Ripterra,Elemental Coating
Ripterra,Elemental Wall
Ripterra,Energy Shot
Ripterra,Energy Wave
Ripterra,Focus
Ripterra,Frozen Ground
Ripterra,Galactic Beatdown
Ripterra,Gambit
Ripterra,Gasoline Spray
Ripterra,Grounded
Ripterra,Haunt
Ripterra,Headshot
Ripterra,Heroic Blade
Ripterra,Hypnotise
Ripterra,Icicle Dart
Ripterra,Insomnia
Ripterra,Jagged Edge
Ripterra,Jump Scare
Ripterra,Last Rites
Ripterra,Liftoff
Ripterra,Machine Curse
Ripterra,Magic Tome
Ripterra,Mind-Meld
Ripterra,Multi Shot
Ripterra,Multi Smack
Ripterra,Neutralise
Ripterra,Nod
Ripterra,Parry Stance
Ripterra,Peekaboo
Ripterra,Phase Shift
Ripterra,Pity AP
Ripterra,Plastic Knife
Ripterra,Pre-emptive Strike
Ripterra,Provoke
Ripterra,Quick Smack
Ripterra,Raise Arms
Ripterra,Raise Shields
Ripterra,Random Starter
Ripterra,Rapid Fire
Ripterra,Revenge Strike
Ripterra,Ritual
Ripterra,Roll Again
Ripterra,Sharp Edges
Ripterra,Sharpen
Ripterra,Shooting Star
Ripterra,Silicon Slash
Ripterra,Slice
Ripterra,Smack
Ripterra,Snow Rush
Ripterra,Sonic Boom
Ripterra,Spit
Ripterra,Spray
Ripterra,Sprint
Ripterra,Stab In The Dark
Ripterra,Superheated Fist
Ripterra,Taunt
Ripterra,The Old 1-2
Ripterra,Throw
Ripterra,Toxic Stab
Ripterra,Toy Hammer
Ripterra,Trick
Ripterra,Trip
Ripterra,Vengeful Curse
Ripterra,Wallop
Ripterra,Wink
Ripterra,Zephyr
Snoopin,Air Camouflage
Snoopin,Air Coating
Snoopin,Air Resistance
Snoopin,Air Wall
Snoopin,AP Boost
Snoopin,AP Drain
Snoopin,AP Refund
Snoopin,AP Starter
Snoopin,AP Steal
Snoopin,Astral Camouflage
Snoopin,Astral Coating
Snoopin,Astral Resistance
Snoopin,Astral Wall
Snoopin,Battery
Snoopin,Beast Camouflage
Snoopin,Beast Coating
Snoopin,Beast Resistance
Snoopin,Beast Wall
Snoopin,Berserker
Snoopin,Bish Bash Bosh
Snoopin,Bite
Snoopin,Blood Donation
Snoopin,Bloodlust
Snoopin,Bone Cannon
Snoopin,Breathing Technique
Snoopin,Call For Help
Snoopin,Carnivore
Snoopin,Change the Record
Snoopin,Clobber
Snoopin,Compliment
Snoopin,Copper Chop
Snoopin,Critical AP
Snoopin,Criticise
Snoopin,Crossfade
Snoopin,Custom Starter
Snoopin,Defend
Snoopin,Delegate
Snoopin,Desperation
Snoopin,Dodge
Snoopin,Double Slice
Snoopin,Double Smack
Snoopin,Dual Wield
Snoopin,Déjà Vu
Snoopin,Elemental Coating
Snoopin,Elemental Wall
Snoopin,Energy Shot
Snoopin,Energy Wave
Snoopin,Focus
Snoopin,Frozen Ground
Snoopin,Gambit
Snoopin,Gasoline Spray
Snoopin,Grounded
Snoopin,Headshot
Snoopin,Hypnotise
Snoopin,Icicle Dart
Snoopin,Insomnia
Snoopin,Jump Scare
Snoopin,Last Rites
Snoopin,Liftoff
Snoopin,Machine Curse
Snoopin,Magic Tome
Snoopin,Meditate
Snoopin,Mind-Meld
Snoopin,Multi Shot
Snoopin,Multi Smack
Snoopin,Neutralise
Snoopin,Nod
Snoopin,Parry Stance
Snoopin,Peekaboo
Snoopin,Pity AP
Snoopin,Pre-emptive Strike
Snoopin,Provoke
Snoopin,Quick Smack
Snoopin,Raise Arms
Snoopin,Raise Shields
Snoopin,Random Starter
Snoopin,Rapid Fire
Snoopin,Revenge Strike
Snoopin,Ritual
Snoopin,Roll Again
Snoopin,Sharpen
Snoopin,Slice
Snoopin,Smack
Snoopin,Snow Rush
Snoopin,Sonic Boom
Snoopin,Spit
Snoopin,Spray
Snoopin,Sprint
Snoopin,Superheated Fist
Snoopin,Taunt
Snoopin,The Old 1-2
Snoopin,Throw
Snoopin,Toy Hammer
Snoopin,Trap Jaw
Snoopin,Trick
Snoopin,Trip
Snoopin,Vengeful Curse
Snoopin,Wallop
Snoopin,Wink
Snoopin,Zephyr
Scampire,Air Camouflage
Scampire,Air Coating
Scampire,Air Resistance
Scampire,Air Wall
Scampire,AP Boost
Scampire,AP Drain
Scampire,AP Refund
Scampire,AP Starter
Scampire,AP Steal
Scampire,Astral Camouflage
Scampire,Astral Coating
Scampire,Astral Resistance
Scampire,Astral Wall
Scampire,Battery
Scampire,Beast Camouflage
Scampire,Beast Coating
Scampire,Beast Resistance
Scampire,Beast Wall
Scampire,Berserker
Scampire,Bish Bash Bosh
Scampire,Bite
Scampire,Blood Donation
Scampire,Bloodlust
Scampire,Bone Cannon
Scampire,Breathing Technique
Scampire,Call For Help
Scampire,Carnivore
Scampire,Change the Record
Scampire,Clobber
Scampire,Compliment
Scampire,Copper Chop
Scampire,Critical AP
Scampire,Criticise
Scampire,Crossfade
Scampire,Custom Starter
Scampire,Defend
Scampire,Delegate
Scampire,Desperation
Scampire,Dodge
Scampire,Double Slice
Scampire,Double Smack
Scampire,Dual Wield
Scampire,Déjà Vu
Scampire,Elemental Coating
Scampire,Elemental Wall
Scampire,Energy Shot
Scampire,Energy Wave
Scampire,Focus
Scampire,Frozen Ground
Scampire,Gambit
Scampire,Gasoline Spray
Scampire,Grounded
Scampire,Headshot
Scampire,Hypnotise
Scampire,Icicle Dart
Scampire,Insomnia
Scampire,Jump Scare
Scampire,Last Rites
Scampire,Liftoff
Scampire,Machine Curse
Scampire,Magic Tome
Scampire,Meditate
Scampire,Mind-Meld
Scampire,Multi Shot
Scampire,Multi Smack
Scampire,Neutralise
Scampire,Nod
Scampire,Parry Stance
Scampire,Peekaboo
Scampire,Pity AP
Scampire,Pre-emptive Strike
Scampire,Provoke
Scampire,Quick Smack
Scampire,Raise Arms
Scampire,Raise Shields
Scampire,Random Starter
Scampire,Rapid Fire
Scampire,Revenge Strike
Scampire,Ritual
Scampire,Roll Again
Scampire,Sharpen
Scampire,Slice
Scampire,Smack
Scampire,Snow Rush
Scampire,Sonic Boom
Scampire,Spit
Scampire,Spray
Scampire,Sprint
Scampire,Superheated Fist
Scampire,Taunt
Scampire,The Old 1-2
Scampire,Throw
Scampire,Toy Hammer
Scampire,Trap Jaw
Scampire,Trick
Scampire,Trip
Scampire,Vampire
Scampire,Vengeful Curse
Scampire,Wallop
Scampire,Wink
Scampire,Zephyr
Carniviper,AP Boost
Carniviper,AP Drain
Carniviper,AP Refund
Carniviper,AP Starter
Carniviper,AP Steal
Carniviper,Berserker
Carniviper,Bish Bash Bosh
Carniviper,Bite
Carniviper,Bloodlust
Carniviper,Call For Help
Carniviper,Carnivore
Carniviper,Change the Record
Carniviper,Clobber
Carniviper,Compliment
Carniviper,Critical AP
Carniviper,Criticise
Carniviper,Crossfade
Carniviper,Custom Starter
Carniviper,Defend
Carniviper,Delegate
Carniviper,Desperation
Carniviper,Dodge
Carniviper,Double Slice
Carniviper,Double Smack
Carniviper,Elemental Coating
Carniviper,Elemental Wall
Carniviper,Energy Shot
Carniviper,Energy Wave
Carniviper,Focus
Carniviper,Gambit
Carniviper,Gasoline Spray
Carniviper,Headshot
Carniviper,Hypnotise
Carniviper,Inflame
Carniviper,Last Rites
Carniviper,Machine Curse
Carniviper,Multi Shot
Carniviper,Multi Smack
Carniviper,Neutralise
Carniviper,Nod
Carniviper,Parry Stance
Carniviper,Peekaboo
Carniviper,Pity AP
Carniviper,Poison Camouflage
Carniviper,Poison Coating
Carniviper,Poison Resistance
Carniviper,Poison Wall
Carniviper,Pre-emptive Strike
Carniviper,Provoke
Carniviper,Pustule Bomb
Carniviper,Raise Arms
Carniviper,Raise Shields
Carniviper,Random Starter
Carniviper,Revenge Strike
Carniviper,Roll Again
Carniviper,Sharpen
Carniviper,Slice
Carniviper,Smack
Carniviper,Spit
Carniviper,Spray
Carniviper,Sprint
Carniviper,Sticky Spray
Carniviper,Taunt
Carniviper,The Old 1-2
Carniviper,Toxic Stab
Carniviper,Trap Jaw
Carniviper,Trick
Carniviper,Trip
Carniviper,Wallop
Carniviper,Wink
Carniviper,Zephyr
Masquerattle,AP Boost
Masquerattle,AP Drain
Masquerattle,AP Refund
Masquerattle,AP Starter
Masquerattle,AP Steal
Masquerattle,Berserker
Masquerattle,Bish Bash Bosh
Masquerattle,Bite
Masquerattle,Bloodlust
Masquerattle,Call For Help
Masquerattle,Carnivore
Masquerattle,Change the Record
Masquerattle,Clobber
Masquerattle,Compliment
Masquerattle,Critical AP
Masquerattle,Criticise
Masquerattle,Crossfade
Masquerattle,Custom Starter
Masquerattle,Damage Roll
Masquerattle,Defend
Masquerattle,Delegate
Masquerattle,Desperation
Masquerattle,Dodge
Masquerattle,Double Slice
Masquerattle,Double Smack
Masquerattle,Déjà Vu
Masquerattle,Elemental Coating
Masquerattle,Elemental Wall
Masquerattle,Energy Shot
Masquerattle,Energy Wave
Masquerattle,Focus
Masquerattle,Frozen Ground
Masquerattle,Gambit
Masquerattle,Gasoline Spray
Masquerattle,Haunt
Masquerattle,Headshot
Masquerattle,Hypnotise
Masquerattle,Icicle Dart
Masquerattle,Inflame
Masquerattle,Last Rites
Masquerattle,Machine Curse
Masquerattle,Multi Shot
Masquerattle,Multi Smack
Masquerattle,Neutralise
Masquerattle,Nod
Masquerattle,Parry Stance
Masquerattle,Peekaboo
Masquerattle,Pity AP
Masquerattle,Poison Camouflage
Masquerattle,Poison Coating
Masquerattle,Poison Resistance
Masquerattle,Poison Wall
Masquerattle,Pre-emptive Strike
Masquerattle,Provoke
Masquerattle,Pustule Bomb
Masquerattle,Quick Smack
Masquerattle,Raise Arms
Masquerattle,Raise Shields
Masquerattle,Random Starter
Masquerattle,Rapid Fire
Masquerattle,Revenge Strike
Masquerattle,Roll Again
Masquerattle,Sharpen
Masquerattle,Slice
Masquerattle,Smack
Masquerattle,Snow Rush
Masquerattle,Spit
Masquerattle,Spray
Masquerattle,Sprint
Masquerattle,Sticky Spray
Masquerattle,Taunt
Masquerattle,The Old 1-2
Masquerattle,Toxic Stab
Masquerattle,Trap Jaw
Masquerattle,Trick
Masquerattle,Trip
Masquerattle,Wallop
Masquerattle,Wink
Masquerattle,Zephyr
Jormungold,Air Camouflage
Jormungold,Air Coating
Jormungold,Air Resistance
Jormungold,Air Wall
Jormungold,AP Boost
Jormungold,AP Drain
Jormungold,AP Refund
Jormungold,AP Starter
Jormungold,AP Steal
Jormungold,Berserker
Jormungold,Bish Bash Bosh
Jormungold,Bite
Jormungold,Bloodlust
Jormungold,Brace for Impact
Jormungold,Call For Help
Jormungold,Carnivore
Jormungold,Change the Record
Jormungold,Clobber
Jormungold,Compliment
Jormungold,Copper Chop
Jormungold,Critical AP
Jormungold,Criticise
Jormungold,Crossfade
Jormungold,Custom Starter
Jormungold,Damage Roll
Jormungold,Defend
Jormungold,Delegate
Jormungold,Desperation
Jormungold,Dodge
Jormungold,Double Slice
Jormungold,Double Smack
Jormungold,Déjà Vu
Jormungold,Elemental Coating
Jormungold,Elemental Wall
Jormungold,Energy Shot
Jormungold,Energy Wave
Jormungold,Focus
Jormungold,Frozen Ground
Jormungold,Gambit
Jormungold,Gasoline Spray
Jormungold,Gear Shear
Jormungold,Grounded
Jormungold,Haunt
Jormungold,Headshot
Jormungold,Hypnotise
Jormungold,Icicle Dart
Jormungold,Inflame
Jormungold,Iron Filings
Jormungold,Jagged Edge
Jormungold,Last Rites
Jormungold,Liftoff
Jormungold,Lightning Camouflage
Jormungold,Lightning Coating
Jormungold,Machine Curse
Jormungold,Magnet
Jormungold,Metal Camouflage
Jormungold,Metal Coating
Jormungold,Metal Resistance
Jormungold,Metal Riff
Jormungold,Metal Wall
Jormungold,Multi Shot
Jormungold,Multi Smack
Jormungold,Neutralise
Jormungold,Nod
Jormungold,Parry Stance
Jormungold,Peekaboo
Jormungold,Pity AP
Jormungold,Poison Camouflage
Jormungold,Poison Coating
Jormungold,Poison Resistance
Jormungold,Poison Wall
Jormungold,Pre-emptive Strike
Jormungold,Provoke
Jormungold,Pustule Bomb
Jormungold,Quick Smack
Jormungold,Raise Arms
Jormungold,Raise Shields
Jormungold,Random Starter
Jormungold,Rapid Fire
Jormungold,Revenge Strike
Jormungold,Roll Again
Jormungold,Sharp Edges
Jormungold,Sharpen
Jormungold,Shield Bash
Jormungold,Shrapnel
Jormungold,Slice
Jormungold,Smack
Jormungold,Snow Rush
Jormungold,Sonic Boom
Jormungold,Spit
Jormungold,Spray
Jormungold,Sprint
Jormungold,Sticky Spray
Jormungold,Sturdy Armour
Jormungold,Taunt
Jormungold,The Old 1-2
Jormungold,Toxic Stab
Jormungold,Trap Jaw
Jormungold,Trick
Jormungold,Trip
Jormungold,Wallop
Jormungold,Wink
Jormungold,Zephyr
Mardiusa,AP Boost
Mardiusa,AP Drain
Mardiusa,AP Refund
Mardiusa,AP Starter
Mardiusa,AP Steal
Mardiusa,Battery
Mardiusa,Berserker
Mardiusa,Bish Bash Bosh
Mardiusa,Bite
Mardiusa,Bloodlust
Mardiusa,Call For Help
Mardiusa,Carnivore
Mardiusa,Change the Record
Mardiusa,Clobber
Mardiusa,Compliment
Mardiusa,Copper Chop
Mardiusa,Critical AP
Mardiusa,Criticise
Mardiusa,Crossfade
Mardiusa,Custom Starter
Mardiusa,Damage Roll
Mardiusa,Defend
Mardiusa,Delegate
Mardiusa,Desperation
Mardiusa,Dodge
Mardiusa,Double Slice
Mardiusa,Double Smack
Mardiusa,Dual Wield
Mardiusa,Déjà Vu
Mardiusa,Earth Camouflage
Mardiusa,Earth Coating
Mardiusa,Earth Resistance
Mardiusa,Elemental Coating
Mardiusa,Elemental Wall
Mardiusa,Energy Shot
Mardiusa,Energy Wave
Mardiusa,Flirt
Mardiusa,Focus
Mardiusa,Frozen Ground
Mardiusa,Gambit
Mardiusa,Gasoline Spray
Mardiusa,Haunt
Mardiusa,Headshot
Mardiusa,Hypnotise
Mardiusa,Icicle Dart
Mardiusa,Inflame
Mardiusa,Last Rites
Mardiusa,Machine Curse
Mardiusa,Multi Shot
Mardiusa,Multi Smack
Mardiusa,Neutralise
Mardiusa,Nod
Mardiusa,Parry Stance
Mardiusa,Peekaboo
Mardiusa,Pity AP
Mardiusa,Poison Camouflage
Mardiusa,Poison Coating
Mardiusa,Poison Resistance
Mardiusa,Poison Wall
Mardiusa,Pre-emptive Strike
Mardiusa,Provoke
Mardiusa,Pustule Bomb
Mardiusa,Quick Smack
Mardiusa,Raise Arms
Mardiusa,Raise Shields
Mardiusa,Random Starter
Mardiusa,Rapid Fire
Mardiusa,Revenge Strike
Mardiusa,Roll Again
Mardiusa,Sharpen
Mardiusa,Slice
Mardiusa,Smack
Mardiusa,Snow Rush
Mardiusa,Spit
Mardiusa,Spray
Mardiusa,Sprint
Mardiusa,Sticky Spray
Mardiusa,Stony Look
Mardiusa,Superheated Fist
Mardiusa,Taunt
Mardiusa,The Old 1-2
Mardiusa,Throw
Mardiusa,Toxic Stab
Mardiusa,Toy Hammer
Mardiusa,Trap Jaw
Mardiusa,Trick
Mardiusa,Trip
Mardiusa,Two Heads
Mardiusa,Wallop
Mardiusa,Wink
Mardiusa,Zephyr
Aeroboros,Air Camouflage
Aeroboros,Air Coating
Aeroboros,Air Resistance
Aeroboros,Air Wall
Aeroboros,AP Boost
Aeroboros,AP Drain
Aeroboros,AP Refund
Aeroboros,AP Starter
Aeroboros,AP Steal
Aeroboros,Astral Camouflage
Aeroboros,Astral Coating
Aeroboros,Astral Resistance
Aeroboros,Astral Wall
Aeroboros,Avalanche
Aeroboros,Berserker
Aeroboros,Bish Bash Bosh
Aeroboros,Bite
Aeroboros,Blizzard
Aeroboros,Blood Donation
Aeroboros,Bloodlust
Aeroboros,Breathing Technique
Aeroboros,Broadcast
Aeroboros,Butterfly Effect
Aeroboros,Call For Help
Aeroboros,Carnivore
Aeroboros,Change the Record
Aeroboros,Clobber
Aeroboros,Compliment
Aeroboros,Critical AP
Aeroboros,Criticise
Aeroboros,Crossfade
Aeroboros,Crumble
Aeroboros,Custom Starter
Aeroboros,Damage Roll
Aeroboros,Defend
Aeroboros,Delegate
Aeroboros,Desperation
Aeroboros,Doc Leaf
Aeroboros,Dodge
Aeroboros,Double Slice
Aeroboros,Double Smack
Aeroboros,Déjà Vu
Aeroboros,Elemental Coating
Aeroboros,Elemental Wall
Aeroboros,Energy Shot
Aeroboros,Energy Wave
Aeroboros,Focus
Aeroboros,Fog
Aeroboros,Frozen Ground
Aeroboros,Gambit
Aeroboros,Gasoline Spray
Aeroboros,Glitter Bomb
Aeroboros,Glitter Resistance
Aeroboros,Grounded
Aeroboros,Haunt
Aeroboros,Headshot
Aeroboros,Hurricane
Aeroboros,Hypnotise
Aeroboros,Ice Resistance
Aeroboros,Icicle Dart
Aeroboros,Inflame
Aeroboros,Insomnia
Aeroboros,Last Rites
Aeroboros,Life Absorb
Aeroboros,Lightning Bolt
Aeroboros,Lightning Camouflage
Aeroboros,Lightning Coating
Aeroboros,Lightning Wall
Aeroboros,Machine Curse
Aeroboros,Magic Tome
Aeroboros,Meditate
Aeroboros,Mind-Meld
Aeroboros,Multi Shot
Aeroboros,Multi Smack
Aeroboros,Neutralise
Aeroboros,New Leaf
Aeroboros,Nod
Aeroboros,Nurse
Aeroboros,Parry Stance
Aeroboros,Peekaboo
Aeroboros,Pity AP
Aeroboros,Poison Camouflage
Aeroboros,Poison Coating
Aeroboros,Poison Resistance
Aeroboros,Poison Wall
Aeroboros,Pre-emptive Strike
Aeroboros,Prismatic
Aeroboros,Provoke
Aeroboros,Pustule Bomb
Aeroboros,Quick Smack
Aeroboros,Raise Arms
Aeroboros,Raise Shields
Aeroboros,Random Starter
Aeroboros,Rapid Fire
Aeroboros,Revenge Strike
Aeroboros,Ritual
Aeroboros,Roll Again
Aeroboros,Sharpen
Aeroboros,Slice
Aeroboros,Smack
Aeroboros,Snow Rush
Aeroboros,Sonic Boom
Aeroboros,Spit
Aeroboros,Spray
Aeroboros,Sprint
Aeroboros,Sticky Spray
Aeroboros,Taunt
Aeroboros,The Old 1-2
Aeroboros,Throw
Aeroboros,Thunder Blast
Aeroboros,Toxic Stab
Aeroboros,Trap Jaw
Aeroboros,Trick
Aeroboros,Trip
Aeroboros,Unicast
Aeroboros,Vengeful Curse
Aeroboros,Wallop
Aeroboros,Wink
Aeroboros,Zephyr
Traffikrab,AP Boost
Traffikrab,AP Drain
Traffikrab,AP Refund
Traffikrab,AP Starter
Traffikrab,AP Steal
Traffikrab,Berserker
Traffikrab,Bish Bash Bosh
Traffikrab,Bloodlust
Traffikrab,Boil
Traffikrab,Bottle Volley
Traffikrab,Brick Blast
Traffikrab,Call For Help
Traffikrab,Change the Record
Traffikrab,Clobber
Traffikrab,Compliment
Traffikrab,Critical AP
Traffikrab,Criticise
Traffikrab,Crossfade
Traffikrab,Custom Starter
Traffikrab,Defend
Traffikrab,Delegate
Traffikrab,Desperation
Traffikrab,Dodge
Traffikrab,Double Slice
Traffikrab,Double Smack
Traffikrab,Elemental Coating
Traffikrab,Elemental Wall
Traffikrab,Energy Shot
Traffikrab,Energy Wave
Traffikrab,Focus
Traffikrab,Gambit
Traffikrab,Gasoline Spray
Traffikrab,Glass Resistance
Traffikrab,Headshot
Traffikrab,Hypnotise
Traffikrab,Incinerate
Traffikrab,Inflame
Traffikrab,Last Rites
Traffikrab,Machine Curse
Traffikrab,Multi Shot
Traffikrab,Multi Smack
Traffikrab,Neutralise
Traffikrab,Nod
Traffikrab,Parry Stance
Traffikrab,Peekaboo
Traffikrab,Pity AP
Traffikrab,Plastic Camouflage
Traffikrab,Plastic Coating
Traffikrab,Plastic Knife
Traffikrab,Plastic Resistance
Traffikrab,Plastic Wall
Traffikrab,Pre-emptive Strike
Traffikrab,Provoke
Traffikrab,Raise Arms
Traffikrab,Raise Shields
Traffikrab,Random Starter
Traffikrab,Recycle
Traffikrab,Revenge Strike
Traffikrab,Roll Again
Traffikrab,Sharpen
Traffikrab,Slice
Traffikrab,Smack
Traffikrab,Spit
Traffikrab,Spray
Traffikrab,Sprint
Traffikrab,Taunt
Traffikrab,The Old 1-2
Traffikrab,Torrent
Traffikrab,Toy Hammer
Traffikrab,Traffic Jam
Traffikrab,Trick
Traffikrab,Trip
Traffikrab,Undertow
