Species,Number,Type,HP,M Atk,M Def,R Atk,R Def,Speed,Wiki Link
Pawndead,092,Earth,90,90,90,90,90,90,https://wiki.cassettebeasts.com/wiki/Pawndead
Skelevangelist,093,Earth,110,110,110,110,110,110,https://wiki.cassettebeasts.com/wiki/Skelevangelist
Kingrave,094,Earth,110,220,110,160,110,110,https://wiki.cassettebeasts.com/wiki/Kingrave
Queenyx,095,Earth,180,110,110,110,110,200,https://wiki.cassettebeasts.com/wiki/Queenyx
Burnace,096,Fire,100,60,150,100,150,40,https://wiki.cassettebeasts.com/wiki/Burnace
Smogmagog,097,Fire,140,110,195,110,195,50,https://wiki.cassettebeasts.com/wiki/Smogmagog
Faucetear,098,Water,90,100,90,110,100,90,https://wiki.cassettebeasts.com/wiki/Faucetear
Fountess,099,Water,125,135,125,155,135,125,https://wiki.cassettebeasts.com/wiki/Fountess
Cluckabilly,100,Air,100,115,90,105,90,100,https://wiki.cassettebeasts.com/wiki/Cluckabilly
Rockertrice,101,Air,130,145,130,135,130,130,https://wiki.cassettebeasts.com/wiki/Rockertrice
Pondwalker,102,Water,100,100,100,100,100,100,https://wiki.cassettebeasts.com/wiki/Pondwalker
Sharktanker,103,Water,130,150,140,130,140,110,https://wiki.cassettebeasts.com/wiki/Sharktanker
Pombomb,104,Fire,100,90,90,100,120,100,https://wiki.cassettebeasts.com/wiki/Pombomb
Spitzfyre,105,Fire,120,100,100,150,140,120,https://wiki.cassettebeasts.com/wiki/Spitzfyre
Icepeck,106,Ice,80,150,80,80,80,190,https://wiki.cassettebeasts.com/wiki/Icepeck
Cryoshear,107,Ice,150,180,90,90,90,200,https://wiki.cassettebeasts.com/wiki/Cryoshear
Sparktan,108,Lightning,100,80,90,90,90,150,https://wiki.cassettebeasts.com/wiki/Sparktan
Zeustrike,109,Lightning,140,100,110,120,130,200,https://wiki.cassettebeasts.com/wiki/Zeustrike
Kuneko,110,Air,115,115,115,115,115,115,https://wiki.cassettebeasts.com/wiki/Kuneko
Shining Kuneko,111,Astral,140,140,140,140,140,140,https://wiki.cassettebeasts.com/wiki/Shining_Kuneko
Djinn Entonic,112,Astral,150,100,150,150,100,150,https://wiki.cassettebeasts.com/wiki/Djinn_Entonic
Arkidd,113,Lightning,100,150,100,100,100,250,https://wiki.cassettebeasts.com/wiki/Arkidd
Undyin,114,Water,200,110,110,160,110,110,https://wiki.cassettebeasts.com/wiki/Undyin
Spooki-onna,115,Ice,190,120,130,130,130,100,https://wiki.cassettebeasts.com/wiki/Spooki-onna
Khepri,116,Fire,100,1,100,300,250,79,https://wiki.cassettebeasts.com/wiki/Khepri
Averevoir,117,Air,150,100,150,100,150,190,https://wiki.cassettebeasts.com/wiki/Averevoir
Glaistain,118,Glass,120,160,90,160,90,220,https://wiki.cassettebeasts.com/wiki/Glaistain
Miss Mimic,119,Metal,110,210,110,110,110,150,https://wiki.cassettebeasts.com/wiki/Miss_Mimic
Anathema,120,Beast,150,155,140,140,130,85,https://wiki.cassettebeasts.com/wiki/Anathema
Pinbolt,121,Lightning,120,120,105,160,105,190,https://wiki.cassettebeasts.com/wiki/Pinbolt
Diveberg,122,Ice,100,160,150,125,135,130,https://wiki.cassettebeasts.com/wiki/Diveberg
Adeptile,123,Astral,110,80,180,150,180,100,https://wiki.cassettebeasts.com/wiki/Adeptile
Trapwurm,124,Earth,120,150,120,90,120,90,https://wiki.cassettebeasts.com/wiki/Trapwurm
Wyrmaw,125,Earth,150,180,130,110,130,100,https://wiki.cassettebeasts.com/wiki/Wyrmaw
Ferriclaw,126,Metal,90,140,100,90,140,140,https://wiki.cassettebeasts.com/wiki/Ferriclaw
Auriclaw,127,Metal,100,170,100,100,170,160,https://wiki.cassettebeasts.com/wiki/Auriclaw
Picksie,128,Earth,130,130,130,130,130,150,https://wiki.cassettebeasts.com/wiki/Picksie
Amphare,???,Lightning,120,100,120,100,80,80,https://wiki.cassettebeasts.com/wiki/Amphare
Blunderbusk,???,Fire,150,120,150,150,100,130,https://wiki.cassettebeasts.com/wiki/Blunderbusk
Charlequin,???,Fire,80,110,80,120,100,110,https://wiki.cassettebeasts.com/wiki/Charlequin
Fragliacci,???,Fire,100,140,100,170,160,130,https://wiki.cassettebeasts.com/wiki/Fragliacci
Hauntome,???,Air,110,180,150,180,80,100,https://wiki.cassettebeasts.com/wiki/Hauntome
Lapacitor,???,Lightning,150,125,150,125,150,100,https://wiki.cassettebeasts.com/wiki/Lapacitor
Littlered,???,Beast,100,100,100,100,100,100,https://wiki.cassettebeasts.com/wiki/Littlered
Majortom,???,Metal,150,150,150,110,110,130,https://wiki.cassettebeasts.com/wiki/Majortom
Minortom,???,Metal,130,130,130,70,70,70,https://wiki.cassettebeasts.com/wiki/Minortom
Rosehood,???,Plant,160,110,100,160,110,160,https://wiki.cassettebeasts.com/wiki/Rosehood
Scarleteeth,???,Beast,110,160,160,100,160,110,https://wiki.cassettebeasts.com/wiki/Scarleteeth
Umbrahella,???,Poison,150,120,140,170,200,60,https://wiki.cassettebeasts.com/wiki/Umbrahella
